NAME	Memory CD4 T	B	CD14+ Mono	NK	CD8 T	Naive CD4 T	FCGR3A+ Mono	DC	Platelet
ATM	1	1	1	15.3546252312679	1	15.0430086674634	1	1	1
ATOX1	1	1	74.8855237150994	78.9428564192733	1	1	69.444722121003	49.5592918991297	99.4486733965065
ATP2A3	1	1	1	1	1	1	1	21.3901560923247	112.799006830753
ATP5L2	190.870118347418	1	1	1	1	1	151.794636651784	54.8471567340974	1
ATP6AP1	1	1	1	1	1	1	1	25.1315692625821	1
ATP6V0E2	27.4074582218722	1	1	1	1	37.7220022283219	1	1	1
ATP6V1B2	1	1	21.5976903435616	1	1	1	20.6595835748738	1	1
ATP6V1D	1	1	1	44.2328749211052	1	1	25.7949600310036	1	74.9067114910392
ATP6V1H	1	1	1	32.6076486609344	1	1	1	17.5203061425788	1
B3GAT3	35.2694265777464	1	1	60.032987783123	82.9084732153815	1	1	1	1
BAD	57.1864453140738	1	1	1	89.6968873179533	1	1	66.1080175171704	1
BAK1	1	1	1	66.2932830074294	1	1	1	28.863072117318	1
BANK1	1	245.132959111416	1	1	1	1	1	1	1
BASP1	1	1	1	1	1	1	1	195.348837451134	1
BATF	158.224151272058	1	1	221.385358107331	190.737042861163	1	1	53.2074478650766	1
BATF3	1	1	1	1	1	1	133.447737080394	61.4568482798155	1
BBX	16.6638856811255	35.9041978407921	1	37.9494993450217	1	22.8873273580151	1	15.5120553854462	1
BCAS4	1	122.610870651524	1	1	1	1	1	1	1
BCCIP	1	1	1	1	1	1	26.415006016637	1	1
BCL11B	31.9147350007279	1	1	1	1	30.1427483701589	1	1	1
BCL2	1	1	1	1	1	26.27800764796	1	10.9780277997305	1
BCL2A1	1	1	1	1	1	1	157.757786278981	1	1
BCL7A	1	43.7638399132488	1	1	1	1	1	1	1
BCL7B	21.0111469907381	1	1	16.9505482877292	24.6762934453478	1	13.1983828775775	1	1
BEST1	1	33.1274011517028	16.42043749973	26.7915649774504	1	1	15.229584757402	9.84145777682027	1
BEX2	113.930566300981	107.280056139383	1	1	185.31269922295	136.832671492941	1	1	1
BEX4	123.932459917367	109.387355220204	1	171.034852135509	1	162.920640928653	1	119.318799385595	1
BHLHE40	1	1	1	1	1	1	1	90.905395053541	1
BID	1	1	81.4529118987064	32.98669126454	1	1	185.315773586412	121.983880000853	59.5288302025734
BIN1	99.0838016589933	81.741044223608	1	93.8570201331566	101.267760847188	92.1572283286164	1	42.5045690797497	1
BIRC3	54.046802681556	79.7493389135865	1	1	1	45.0043663920649	1	1	1
BLCAP	1	29.7552130864939	1	1	1	1	1	24.8344648917272	1
BLK	1	144.077683924158	1	1	1	1	1	1	1
BLNK	1	86.3613446443853	1	1	1	1	1	37.7224816282772	1
BLOC1S2	94.1460552805905	244.182234885185	67.8937101189924	64.9287430604357	81.45216190482	75.0168018653641	118.749299484714	109.140341104356	1
BLVRA	95.0032386561849	1	377.617407189586	1	78.5684152299309	1	360.916730502279	82.9861771966896	1
BLVRB	1	1	528.579865846845	1	1	1	121.518497907875	319.295020821703	105.200565115198
BMS1	1	1	1	1	1	1	1	27.0312038825002	1
BNIP2	1	29.9458656533362	1	26.127773353207	1	1	1	19.6406016043502	38.7346483778267
